OBSERVER ID,IBIS,marginal_taxa
obsr1064283,9,Bar-tailed Lark; Cream-colored Courser; Desert Wheatear; Fan-tailed Raven; Parasitic Jaeger; Spotted Sandgrouse; Temminck's Lark; Thick-billed Lark; White-eyed Gull
obsr1885082,8,Bar-tailed Lark; Cream-colored Courser; Desert Wheatear; Eurasian Curlew; Fan-tailed Raven; Spotted Sandgrouse; Temminck's Lark; Thick-billed Lark
obsr2924704,7,Bar-tailed Lark; Cream-colored Courser; Desert Wheatear; Fan-tailed Raven; Spotted Sandgrouse; Temminck's Lark; Thick-billed Lark
obsr956673,7,Common Quail; Isabelline Wheatear; Montagu's Harrier; Red-footed Falcon; Rock Sparrow; Spectacled Warbler; Whinchat
obsr1046462,5,Armenian Gull; Cinereous Bunting; Northern Lapwing; Pied Avocet; Wood Lark
obsr1856155,5,Black-tailed Godwit; Eastern Bonelli's Warbler; Savi's Warbler; Spotted Crake; Syrian Serin
obsr1876327,5,Black-tailed Godwit; Eastern Bonelli's Warbler; Savi's Warbler; Spotted Crake; Syrian Serin
obsr189061,5,Black-tailed Godwit; Eastern Bonelli's Warbler; Savi's Warbler; Spotted Crake; Syrian Serin
obsr4789457,5,Black-tailed Godwit; Eastern Bonelli's Warbler; Savi's Warbler; Spotted Crake; Syrian Serin
obsr3508812,4,Black-tailed Godwit; Eastern Bonelli's Warbler; Savi's Warbler; Syrian Serin
obsr622770,3,Caspian Tern; Greater Sand-Plover; Lesser Black-backed Gull
obsr623480,2,Eurasian Curlew; Water Rail
obsr1080257,1,Sand Partridge
obsr1177329,1,Eurasian Wryneck
obsr1458635,1,African Swamphen
obsr2211161,1,Water Rail
obsr2866231,1,Black Redstart
obsr627355,1,Water Rail
obsr644006,1,Black Redstart
obsr6774705,1,Corn Crake
obsr8112922,1,White-crowned Wheatear
obsr90395,1,Song Thrush
obsr981769,1,Black Redstart
